Id|TIPO_VIA|NOMBRE_VIA|PORTAL1|PORTAL2|CODPOSTAL|COD_INE_MUNICIPIO|LATITUD_WGS84_4326|LONGITUD_WGS84_4326|PROVINCIA|MUNICIPIO|POBLACION
|||||||42,822608|-2,511421|||
|||||||42,851777|-2,510790|||
|||||||42,987927|-2,996666|||
|||||||43,034594|-2,947291|||
|||||||43,057504|-3,007986|||
|||||||43,060785|-3,002510|||
|||||||43,054978|-2,998707|||
|||||||43,065494|-2,966193|||
|||||||43,079952|-2,983348|||
|||||||43,045891|-2,593251|||
|||||||43,129661|-3,141481|||
|||||||42,714186|-2,873576|||
|||||||42,924254|-2,613579|||
|||||||42,893615|-2,315929|||
|||||||43,074211|-3,082520|||
|||||||43,099883|-2,999761|||
|||||||42,522780|-2,675053|||
|||||||42,912057|-2,493109|||
|||||||42,687086|-2,833563|||
|||||||42,693989|-2,523551|||
|||||||42,686914|-2,360738|||
|||||||42,968752|-2,730725|||
|||||||42,594807|-2,514263|||
|||||||42,895587|-2,935361|||
|||||||42,864512|-2,547134|||
|||||||42,507167|-2,624815|||
|||||||42,561873|-2,540476|||
|||||||42,822853|-2,475551|||
|||||||42,605574|-2,808853|||
|||||||42,618697|-2,611451|||
|||||||42,548509|-2,573069|||
|||||||42,543984|-2,499842|||
|||||||42,494684|-2,570446|||
|||||||42,571307|-2,637489|||
|||||||43,141771|-2,963223|||
|||||||43,141115|-2,961073|||
|||||||43,137664|-2,960804|||
|||||||43,135444|-2,949656|||
|||||||43,148886|-2,948380|||
|||||||43,144783|-2,959657|||
|||||||43,152848|-2,957093|||
|||||||43,155255|-2,984114|||
|||||||43,148208|-2,982740|||
|||||||43,139886|-2,968443|||
|||||||43,125695|-2,987386|||
|||||||43,155552|-2,960296|||
|||||||43,166964|-2,969261|||
|||||||42,749050|-2,445147|||
|||||||42,527000|-2,415331|||
|||||||42,539560|-2,631357|||
|||||||43,168213|-3,017944|||
|||||||42,559678|-2,433113|||
|||||||42,534587|-2,432602|||
|||||||42,637989|-2,705183|||
